nombre,tipo,direccion,telefono,website,rating,cantidad_reseñas
Hotel Tamanaco Caracas,N/A,"
Avenida Principal de las Mercedes, Caracas 1060, Distrito Capital, Venezuela",+582129097111,https://htamanaco.com/,,N/A
Hotel Eurobuilding,N/A,"
C. La Guairita, Caracas 1061, Miranda, Venezuela",+582129021111,http://www.hoteleuro.com/,,N/A
Meliá Caracas,N/A,"
Av. Casanova, Caracas 1050, Miranda, Venezuela",+582126283111,https://www.melia.com/en/hotels/venezuela/caracas/melia-caracas?utm_campaign=google&utm_content=5832&utm_medium=organic&utm_source=directories,,N/A
JW Marriott Hotel Caracas,N/A,"
Avenida Venezuela, Con Calle Mohedano, Caracas 1060, Distrito Capital, Venezuela",+582123195757,https://www.marriott.com/en-us/hotels/ccsjw-jw-marriott-hotel-caracas/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,N/A
Renaissance Caracas La Castellana Hotel,N/A,"
Ave Eugenio Mendoza, Con Calle Urdaneta, Caracas 1060, Distrito Capital, Venezuela",+582123188130,https://www.marriott.com/en-us/hotels/ccsbr-renaissance-caracas-la-castellana-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,N/A
Hotel Eurobuilding,N/A,"
C. La Guairita, Caracas 1061, Miranda, Venezuela",+582129021111,http://www.hoteleuro.com/,,N/A
Hotel Waldorf Caracas,N/A,"
Av. La Industria, Esquina Campo Elias a Puente Anauco, Hotel Waldorf PB, Urbanización La Candelaria, Caracas, Caracas 1010, Venezuela",+582125073300,https://waldorfhotelboutique.shop/,,N/A
Hotel Tamanaco Caracas,N/A,"
Avenida Principal de las Mercedes, Caracas 1060, Distrito Capital, Venezuela",+582129097111,https://htamanaco.com/,,N/A
Pestana Caracas,N/A,"
Urb, 1ra Av, Caracas 1070, Miranda, Venezuela",+582122081900,https://www.pestana.com/en/hotel/pestana-caracas?utm_campaign=pestana-caracas-partoo&utm_medium=organicsearch,,N/A
Hotel Alex,N/A,"
Esquina Ferrenquin a La Cruz, Av. Este 0, Caracas 1010, Distrito Capital, Venezuela",+582125078834,https://hotelalexccs.com/,,N/A
Hotel Plaza Mayor C.A,N/A,"
Av. México, cruce con Cl. Rafael Domingo Sisco, Edificio Hotel Plaza Mayor Urbanización, Caracas 1030, Distrito Capital, Venezuela",+582125764123,N/A,,N/A
Hotel Paseo Las Mercedes,N/A,"
Distribuidor Santa Fe, Autop. Prados del Este, Caracas 1080, Distrito Capital, Venezuela",+582129936644,N/A,,N/A
Lidotel Caracas,N/A,"
Av. Tamanaco, Caracas 1060, Miranda, Venezuela",+582122121177,https://lidotel.com/lidotel-caracas/,,N/A
Hotel Venetur Alba Caracas,N/A,"
Av.México con Sur 25, Av. México, Caracas 1010, Distrito Capital, Venezuela",+582125035000,N/A,,N/A
President,N/A,"
F4W9+W8W, Avenida Valparaiso, Caracas 1050, Distrito Capital, Venezuela",+582127930411,https://www.instagram.com/presidentcaracas/?hl=es,,N/A
HOTEL CCT CARACAS,N/A,"
Torre APH, Av. La Estancia, Centro Ciudad Comercial Tamanaco, Caracas 1060, Miranda, Venezuela",+582127008000,http://www.hotelcct.com/,,N/A
The Hotel Caracas,N/A,"
Calle Mohedano, Caracas 1060, Miranda, Venezuela",+584124870434,N/A,,N/A
Hotel Caracas Palace,N/A,"
F5W2+HP3, Av. Luis Roche, Caracas 1060, Miranda, Venezuela",+582127711000,N/A,,N/A
Hotel Cayena Caracas,N/A,"
José Angel lamas y El Bosque, Av. Principal de La Castellana, Caracas 1060, Distrito Capital, Venezuela",+582122748200,http://www.hotelcayena.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,,N/A
Novo Hotel,N/A,"
Av. Loyola, Caracas 1020, Distrito Capital, Venezuela",+588006686835,http://www.novohotelexpress.com/,,N/A
Hotel Caracas Cumberland,N/A,"
2da avenida, Las Delicias de Sabana Grande, Caracas 1050, Distrito Capital, Venezuela",+582127629961,https://www.hotelescumberland.com/caracas/,,N/A
Hotel The Vip,N/A,"
G522+55V, Trans. 3, Caracas 1060, Miranda, Venezuela",+582123194300,N/A,,N/A
Hotel Chacao Cumberland,N/A,"
con Av Sta Lucia, Caracas 1060, Distrito Capital, Venezuela",+582129558711,http://www.hotelescumberland.com/,,N/A
Hotel Grand Galaxie,N/A,"
Truco a Caja de Agua, Hotel Grand Galaxie, Avenida Oeste 7, Caracas 1010, Distrito Capital, Venezuela",+584242330508,https://www.hotelgrandgalaxie.com/,,N/A
California Hotel Suites,N/A,"
Caracas, Distrito Metropolitano de Caracas 1073, Caracas 1071, Distrito Capital, Venezuela",+582122577111,N/A,,N/A
