nombre,tipo,direccion,telefono,website,rating,cantidad_reseñas
Las Moras Bodegon,Restaurante,"
Av. Rafael Núñez 4580, X5000 Córdoba",03516423155,https://www.instagram.com/lasmorasbodegon,,N/A
Santa Calma,Bar restaurante,"
Deodoro Roca, X5000 Córdoba",03518522222,http://www.santacalma.com.ar/,,N/A
El Papagayo Restaurant,Restaurante,"
Arturo M. Bas 69, X5000KLB Córdoba",03514258689,https://www.elpapagayo.com.ar/,,N/A
La Vieja Esquina,Restaurante,"
Belgrano 193, X5000 Córdoba",03514247940,https://www.instagram.com/laviejaesquinacba/?hl=es,,N/A
El Celta,Restaurante,"
Jerónimo Luis de Cabrera 269, X5000 GVH, Córdoba",03512950561,https://m.facebook.com/ElCeltaRestaurant/,,N/A
SIBΛRIS ʀᴇꜱᴛᴀᴜʀᴀɴᴛᴇ,Restaurante,"
Buenos Aires 214, X5022AAF Córdoba",03514254477,http://www.sibarisrestaurante.com.ar/,,N/A
STANDARD 69,Restaurante,"
Achaval Rodriguez 244. Galería Barrio locales 17 y 18, X5000 BKF, Córdoba",0351157719507,http://www.standard69.com/,,N/A
El Solar de Tejeda,Restaurante,"
27 de Abril 23, X5000 Córdoba",03514219702,N/A,,N/A
Goulu,Cafetería,"
Av. Rafael Núñez 4308, X5009CFX Córdoba",03514818086,http://goulu.com.ar/,,N/A
Patio de la Cañada,Restaurante argentino,"
Av. Figueroa Alcorta 360, X5000 KFQ, Córdoba",03514270628,https://linktr.ee/PatiodelaCanada,,N/A
